age,income,credit_score,account_balance,transaction_amount,region,customer_segment,product_type,device,churn
47,14417,793,3169.2570620272354,238.23268945534204,North,Premium,Type_B,Mobile,0
44,26354,696,4683.686389172459,112.06227496830533,East,Standard,Type_A,Mobile,1
44,45860,685,7528.961592469146,36.78710673309592,South,Standard,Type_C,Mobile,0
53,47957,707,8156.201868692248,218.84318741082737,South,Basic,Type_C,Tablet,0
25,17680,744,13884.237282271826,50.44511067102534,East,Basic,Type_A,Mobile,0
32,75902,729,3061.273792332065,137.42447059995692,West,Standard,Type_A,Mobile,0
57,63188,850,1910.1829138678163,107.83110621614077,East,Standard,Type_A,Mobile,0
35,52315,734,5613.954994315342,145.4266963450608,North,Premium,Type_A,Mobile,0
18,84643,684,2955.636633248526,292.28768453152276,West,Standard,Type_B,Desktop,1
35,51470,679,4965.824772304768,95.55686203577454,West,Standard,Type_A,Mobile,0
39,51365,688,2995.8647967636275,36.35544098558173,South,Premium,Type_B,Mobile,0
18,94534,627,913.2728546508691,56.39148489444897,West,Basic,Type_A,Mobile,1
52,73546,712,3485.8849096557137,34.04589152389102,South,Premium,Type_C,Desktop,1
30,25264,753,6457.814489673274,25.03324012221209,South,Standard,Type_A,Mobile,1
41,56854,676,8832.248409324928,201.34691084648384,North,Basic,Type_B,Mobile,1
35,27851,665,3739.384145924202,105.15925630282081,East,Basic,Type_A,Desktop,1
23,52959,793,993.3467124796947,87.55112364630888,North,Basic,Type_A,Mobile,0
26,52163,631,2945.8535949015404,68.62630567231132,North,Premium,Type_C,Desktop,1
27,18752,596,8487.345390343928,171.05316490993988,North,Basic,Type_B,Desktop,0
49,37533,646,2928.699094616671,255.96844896329162,North,Standard,Type_A,Mobile,0
36,46438,625,6558.613243922151,49.2232026429297,South,Basic,Type_B,Mobile,0
32,31572,731,3892.2379666153756,133.75059806565912,South,Basic,Type_B,Tablet,0
27,47719,690,1518.2613450456881,192.05662210020435,North,Basic,Type_B,Desktop,0
51,62520,697,8747.053380238936,115.71680553993087,West,Premium,Type_B,Tablet,0
54,39465,773,483.84583458643385,161.83466261632344,North,Standard,Type_C,Mobile,0
51,45411,671,4093.152348707126,35.942047931352185,South,Basic,Type_A,Mobile,1
43,85895,752,1288.7576005729738,260.5675176043257,North,Basic,Type_B,Tablet,1
41,52065,793,381.81232113822665,171.6038518824649,North,Premium,Type_A,Mobile,0
24,44821,684,3844.6778608991085,143.10319257517722,North,Basic,Type_C,Tablet,1
35,23695,750,3807.495315915255,183.23788169365403,South,Premium,Type_D,Mobile,0
30,58050,696,6749.844791863882,77.47842139394352,East,Standard,Type_C,Tablet,1
18,48126,760,7510.329954213383,42.06094237043243,North,Standard,Type_C,Mobile,0
49,81312,623,7156.52806371246,34.28165813597599,South,Premium,Type_D,Mobile,0
30,41183,619,2897.8681122453095,29.70329853868476,North,Premium,Type_B,Tablet,0
51,14780,688,5493.563495306745,132.44703332427355,West,Basic,Type_C,Mobile,0
47,15755,661,4731.39512064731,70.96442634626773,East,Standard,Type_D,Mobile,0
44,60151,681,3010.8291960648794,250.13339501913566,North,Premium,Type_A,Mobile,0
44,29330,697,5001.406484224094,217.1361698888988,South,Basic,Type_B,Desktop,0
31,51032,749,16181.831904821393,170.84482967323024,West,Basic,Type_C,Tablet,0
58,42737,687,1178.6497309347776,146.41931963069118,South,Standard,Type_D,Mobile,0
38,36615,664,12991.214049998964,56.201953707433006,South,Premium,Type_C,Mobile,1
41,38063,690,302.15519890180474,64.78695542866004,South,Premium,Type_C,Mobile,0
30,24935,667,2028.0256039255046,55.988019123469975,South,Basic,Type_D,Desktop,0
27,39788,658,1869.3476408203016,40.8964659485965,West,Standard,Type_B,Mobile,0
43,29101,621,5414.619004659537,89.55465629189636,West,Standard,Type_A,Mobile,1
40,32704,713,773.6907751771606,190.36634299897443,East,Basic,Type_A,Mobile,0
29,33590,678,11770.114758380896,85.35040775666327,South,Standard,Type_B,Desktop,1
22,35430,763,9699.094983193814,53.68493345720003,South,Premium,Type_B,Tablet,0
24,66649,630,5806.580747676423,85.40650888070944,South,Basic,Type_B,Mobile,0
51,37369,680,3372.892030583837,109.70663907575444,West,Standard,Type_B,Mobile,0
31,70476,809,14863.237330099251,66.43871424258523,East,Standard,Type_D,Desktop,0
34,93509,658,9769.969061823815,90.09393731750592,South,Basic,Type_A,Desktop,0
53,64229,696,3804.7812765107933,448.5897506460695,North,Basic,Type_C,Mobile,0
25,53850,643,6656.302937375604,28.85076397437976,South,Standard,Type_D,Mobile,0
30,48038,635,4602.706849435475,13.086959019177492,West,Standard,Type_B,Mobile,0
29,64598,795,4876.25457754989,104.18400126101261,South,Basic,Type_B,Desktop,0
55,42156,719,2210.6449686592296,128.30964523008916,North,Standard,Type_C,Desktop,0
59,68975,717,3410.2969386955174,86.80756228927906,North,Standard,Type_C,Mobile,0
46,56261,616,447.3797227666039,44.02492988986099,South,Standard,Type_A,Mobile,0
46,32928,729,2431.841448210144,247.26152981623918,West,Standard,Type_A,Mobile,0
31,65691,773,6545.90003327588,99.78887838236533,West,Basic,Type_A,Tablet,1
59,42205,773,16842.180668057536,107.66483163946921,West,Standard,Type_A,Mobile,0
40,37859,746,18142.144056916277,168.95950772412087,East,Basic,Type_A,Tablet,0
47,30886,647,4462.187084434789,84.15270374009367,South,Basic,Type_A,Desktop,1
36,43972,727,5131.41715590482,78.44831410113228,South,Basic,Type_B,Mobile,0
35,69428,746,1129.988462201221,247.25442640844292,South,Basic,Type_D,Mobile,0
56,65441,611,6536.498118873799,21.231021210400066,East,Basic,Type_B,Tablet,0
43,48745,648,403.0362769054411,123.6148763518986,South,Standard,Type_D,Mobile,0
53,55815,758,1842.6827793194013,116.08298306148657,East,Premium,Type_C,Tablet,0
40,80775,758,6070.434309029636,70.37020197534765,North,Basic,Type_C,Mobile,0
28,36957,624,2043.3228663980603,86.91453453011461,North,Standard,Type_B,Desktop,0
31,21731,753,281.2266722859014,233.34924308655616,West,Premium,Type_A,Desktop,0
39,82094,715,9806.611232127201,50.31105187068253,West,Premium,Type_C,Tablet,0
31,29990,752,2043.4813685467434,161.56765100621377,South,Premium,Type_D,Mobile,1
25,27455,675,358.5136653574081,97.5757609503512,North,Basic,Type_B,Desktop,0
51,14944,745,427.5290598730465,150.15945522748132,West,Basic,Type_A,Mobile,0
32,54951,756,1595.1644031116084,129.81588367777667,East,Premium,Type_C,Mobile,1
39,16451,690,1078.1885654482535,12.237566432024963,South,Basic,Type_A,Mobile,0
41,26565,710,8187.0201435143335,49.31789051969106,South,Standard,Type_A,Mobile,0
31,55466,674,2134.78150448175,55.75788645180158,South,Basic,Type_C,Mobile,0
53,59698,800,8982.58272645298,43.65484408139506,South,Standard,Type_B,Mobile,0
25,28044,703,1050.3574373939855,61.67528256137602,West,Basic,Type_B,Tablet,0
40,37280,659,3734.5329952382012,107.48675892568504,North,Standard,Type_D,Desktop,0
40,24836,670,6406.791138298785,179.7694575717132,North,Standard,Type_B,Mobile,0
37,29684,716,5805.395846570971,32.531661013024724,North,Basic,Type_B,Tablet,0
23,46463,751,5055.150377009121,98.609749556318,North,Premium,Type_A,Mobile,0
47,30457,636,14233.402419589776,119.10535032016364,North,Basic,Type_A,Mobile,0
46,35090,811,1426.9816196413576,202.8859738044709,North,Standard,Type_C,Desktop,0
30,17933,726,3743.651074456492,265.6682756098578,North,Standard,Type_B,Mobile,0
45,74841,735,11847.554765333627,83.74477088280153,North,Standard,Type_A,Desktop,0
42,53132,704,446.0216220120457,44.50563360629055,North,Premium,Type_A,Mobile,0
23,62074,711,316.30917966567426,124.71682380139083,North,Standard,Type_B,Mobile,1
28,81612,701,1461.1446963503513,46.31367035698161,East,Basic,Type_B,Mobile,0
50,25492,765,5513.481883271046,117.62380257069321,South,Premium,Type_B,Tablet,1
41,32954,709,1655.183414791701,53.6014342771922,North,Basic,Type_B,Desktop,0
31,14155,752,1160.5947541536545,138.69329688564383,South,Standard,Type_A,Desktop,0
28,225761,686,3376.8386348845497,56.67474560401394,West,Standard,Type_B,Desktop,0
32,36965,720,5229.824482561221,249.92228710336957,West,Premium,Type_D,Mobile,1
33,71061,665,1571.6847401656953,97.86226762245968,North,Standard,Type_A,Desktop,0
28,20312,776,1967.1456274474465,23.51555779837988,East,Basic,Type_B,Mobile,0
18,69425,664,5229.272748582459,183.29713894744825,South,Premium,Type_B,Mobile,1
50,111488,692,16026.663893806615,84.70557212856347,North,Standard,Type_C,Desktop,1
48,38826,692,6177.246500927148,145.9637689781701,North,Standard,Type_A,Mobile,0
23,23017,690,8400.789585893837,185.59654270610625,North,Standard,Type_D,Mobile,1
39,37185,749,2513.4169145043656,101.6718468093335,South,Standard,Type_B,Desktop,1
28,11793,692,1747.9202762829675,30.63126298166031,East,Standard,Type_C,Desktop,0
35,39307,786,3330.94737621227,108.55078675715669,East,Premium,Type_A,Desktop,1
34,63040,664,9051.644572762481,228.52533523446027,North,Basic,Type_C,Mobile,1
33,39353,719,3351.4634779664893,90.4623636283971,North,Basic,Type_C,Mobile,0
60,34328,667,10315.383388048243,130.01100219354757,North,Premium,Type_B,Desktop,0
33,53646,733,24691.385956231432,50.6699675864933,South,Standard,Type_B,Desktop,0
29,55949,709,411.1375467759501,25.984305489862543,West,Basic,Type_B,Mobile,0
29,16107,701,255.60432461148847,86.04369577343755,East,Basic,Type_A,Tablet,0
49,42144,775,891.1998892844291,99.55787968999634,West,Basic,Type_C,Tablet,0
19,153244,674,2668.097401969098,200.19307279748634,East,Basic,Type_A,Mobile,0
29,19259,742,772.5339984203177,104.20291654727123,South,Premium,Type_A,Desktop,0
53,38292,667,11249.39916398119,190.0448457339894,South,Basic,Type_B,Mobile,1
40,116769,716,128.8008267338323,69.51031770852876,South,Basic,Type_A,Mobile,0
40,73665,644,2087.218985369003,29.847986460701637,South,Standard,Type_D,Mobile,1
61,30261,673,1123.0590150011312,135.12430859364653,West,Standard,Type_C,Desktop,0
40,44953,705,14748.227238207484,244.34583074798255,South,Standard,Type_B,Tablet,1
30,40088,809,6089.001311163365,62.20749357271127,North,Standard,Type_C,Desktop,1
34,26597,715,13369.192908146848,148.97566754159234,East,Standard,Type_C,Desktop,0
25,38528,801,19730.479321289746,152.73387523101323,West,Premium,Type_A,Mobile,0
51,34407,722,3780.482438815023,26.252222101725966,South,Premium,Type_C,Mobile,0
44,42702,688,1468.4438239919355,83.2902318211517,East,Standard,Type_A,Mobile,1
50,26592,794,1184.3430473828168,157.33059958457778,North,Standard,Type_B,Mobile,1
51,19887,734,1387.1577992341522,124.42457900754941,South,Basic,Type_B,Desktop,0
33,39233,674,6781.694805550553,157.4100681645005,North,Premium,Type_C,Mobile,0
27,103085,735,227.07521357983427,140.1680449320857,North,Basic,Type_A,Desktop,0
37,41991,693,289.9986658312607,91.31643295010014,East,Basic,Type_A,Mobile,0
28,33443,600,5152.719850458796,99.36625040403435,North,Basic,Type_B,Mobile,1
39,60763,761,5650.600631947822,196.6532040022438,East,Basic,Type_A,Mobile,0
50,36787,770,6019.2544721971135,108.41275440397938,West,Premium,Type_C,Tablet,1
36,112130,811,2557.636682134719,55.77502025405836,North,Standard,Type_B,Mobile,1
39,40048,733,9017.871948076883,84.2864128814751,East,Premium,Type_A,Mobile,1
36,58998,696,4195.203998951605,129.6937091829,South,Basic,Type_A,Desktop,0
46,26501,755,612.9857419492037,188.60386876237092,North,Standard,Type_B,Tablet,0
30,52928,756,8772.712393568801,25.694388336493414,East,Standard,Type_B,Desktop,0
18,46690,800,16824.780386728977,80.98150211023771,East,Basic,Type_A,Mobile,0
43,38906,707,340.52719424818144,179.37268640196564,South,Basic,Type_A,Mobile,0
48,30455,700,2730.8274872324587,50.154007811039,West,Basic,Type_A,Tablet,0
42,28256,670,3676.6723149985264,50.353676478159805,South,Standard,Type_A,Desktop,1
30,46877,739,871.0651317083112,98.51402876138283,West,Standard,Type_B,Desktop,0
25,56721,624,11125.129634696252,23.831956967672877,South,Standard,Type_C,Mobile,0
43,37423,752,1838.5627430960521,287.0746512036351,North,Premium,Type_B,Mobile,0
