age,income,credit_score,account_balance,transaction_amount,region,customer_segment,product_type,device,churn
43,13515,618,46.24150699035432,40.24591718186993,West,Standard,Type_A,Desktop,1
30,28350,639,1117.098795959632,46.2118448889703,South,Standard,Type_D,Mobile,0
27,31189,754,600.7954370404485,80.89591537310943,South,Basic,Type_B,Mobile,0
45,31055,641,9248.610249930347,70.46872461148682,West,Standard,Type_C,Desktop,0
22,49477,609,1495.4427459834649,48.5178138663511,West,Standard,Type_B,Mobile,1
31,98011,793,1675.25202173267,31.24368988992992,East,Standard,Type_D,Desktop,1
38,38629,630,16086.456878715197,42.83124596376868,South,Standard,Type_B,Mobile,0
29,32585,709,2382.8192872149557,225.07317305619245,South,Standard,Type_B,Desktop,0
42,31900,703,48.1593905523209,48.37653298266132,East,Basic,Type_B,Mobile,0
29,38645,559,1669.301292463114,85.57321718750566,West,Standard,Type_C,Mobile,0
49,24001,686,635.1887848039529,48.37180286865007,West,Basic,Type_B,Mobile,0
33,38564,722,542.4300955497089,65.30069345667073,North,Standard,Type_A,Desktop,1
41,45497,717,403.27062765870824,150.32137255600006,South,Basic,Type_A,Desktop,0
42,40329,745,4497.899078497603,69.24445402925969,South,Basic,Type_B,Mobile,0
28,45650,680,1049.5803795494564,63.14841765671241,West,Basic,Type_B,Desktop,0
18,45110,735,2241.154280915295,50.74576593154827,East,Premium,Type_A,Mobile,0
38,14973,665,9903.149899099031,67.16555963432424,South,Standard,Type_A,Tablet,0
35,49932,629,2761.1741946198204,107.85046211881841,North,Standard,Type_B,Tablet,0
40,25964,635,12366.354050618316,15.138513438067621,East,Standard,Type_C,Desktop,0
32,20995,626,3445.158836465837,27.140445328783386,North,Standard,Type_A,Desktop,0
30,20905,750,2544.4426294252416,109.66457309242332,West,Basic,Type_A,Desktop,0
55,45106,624,6939.256404267374,84.51568731775862,East,Premium,Type_C,Desktop,1
20,32490,713,379.9530940882829,52.92041296522879,South,Standard,Type_B,Desktop,0
42,15662,686,468.6881908847173,114.07648261142099,South,Premium,Type_A,Tablet,0
29,46120,694,5277.386336780644,60.686823001705314,West,Basic,Type_C,Desktop,0
31,17680,768,3336.819358772552,148.7889803511995,North,Basic,Type_B,Desktop,0
31,38945,678,7813.135441694316,51.14755549653827,North,Standard,Type_B,Desktop,1
26,40914,730,12400.839716678522,39.409829489277655,West,Premium,Type_D,Desktop,1
40,56544,701,2458.113247726532,361.1145221675851,West,Basic,Type_D,Desktop,0
48,88507,692,4536.779168435033,129.19353926216624,West,Standard,Type_A,Mobile,0
39,18355,814,3472.7070381679487,44.03412808067316,North,Standard,Type_A,Mobile,0
36,35375,627,19979.919465592637,61.039446409479744,North,Basic,Type_A,Mobile,1
25,31629,764,8891.780703204195,51.345417250573,North,Basic,Type_A,Desktop,0
40,45110,732,12137.211549457703,18.926382522743044,North,Standard,Type_A,Mobile,0
56,40450,676,1467.4283209762293,64.02583043836361,East,Standard,Type_A,Tablet,0
31,30446,781,7403.605965531098,90.8652080456912,North,Standard,Type_D,Desktop,1
31,29130,607,1542.644153298865,197.06679569413515,East,Standard,Type_C,Desktop,0
29,20780,673,1170.6593457142915,75.54953088263625,North,Standard,Type_B,Mobile,0
30,59511,639,14435.838849758125,56.80714167904631,South,Standard,Type_B,Desktop,0
18,45688,720,97.4659011604273,213.17821899120096,West,Premium,Type_A,Desktop,1
39,57462,644,16817.87583243382,184.09142179260067,North,Standard,Type_A,Desktop,0
26,31094,721,808.2547490869582,90.46851926987115,South,Premium,Type_A,Mobile,1
18,26149,690,8558.407614382928,84.3133525165313,South,Standard,Type_C,Desktop,0
42,21180,676,1614.284607084947,106.98267633258696,North,Standard,Type_A,Desktop,0
24,43454,719,2159.3200199851667,50.626339587579885,South,Standard,Type_C,Desktop,1
31,21592,686,1221.5659724325203,81.83236261739557,South,Standard,Type_B,Tablet,1
49,91521,645,4403.580915507417,49.05692460193833,East,Standard,Type_A,Tablet,0
20,18886,840,2139.2863652588253,188.1038917733333,West,Basic,Type_A,Tablet,0
19,41640,675,5355.856882935333,41.066961819293866,South,Standard,Type_B,Desktop,0
37,79493,589,78.85514710135955,95.53374538655284,North,Basic,Type_D,Tablet,0
46,48998,657,332.7019965431417,98.82864288073492,East,Standard,Type_C,Desktop,0
19,39649,636,524.920447748725,198.3262705205765,North,Standard,Type_A,Mobile,0
39,22376,741,2714.968267660999,56.25481834585576,East,Premium,Type_B,Mobile,0
40,18198,716,8431.491455003728,47.40804162123973,East,Standard,Type_A,Mobile,0
18,53371,719,10954.230780945518,124.4216252836639,North,Basic,Type_D,Mobile,0
42,77116,681,1403.9344286545966,113.51506445450413,West,Basic,Type_C,Mobile,0
43,29160,686,4270.921034141711,270.69222520893726,West,Basic,Type_B,Mobile,0
31,20546,681,7312.961952644557,91.64211586837962,West,Standard,Type_B,Desktop,0
47,10624,695,1704.2148814525663,185.61618805745513,South,Standard,Type_B,Mobile,0
46,22239,741,2629.7617629302295,172.34922938844932,East,Standard,Type_A,Mobile,0
36,34309,716,3711.416150904266,47.20778118708371,West,Standard,Type_A,Desktop,0
30,80786,725,724.4054814141521,21.83860691955251,South,Premium,Type_A,Desktop,0
25,50846,724,131.62898289266525,64.89032609155618,West,Basic,Type_D,Tablet,0
34,42300,744,829.1267089928841,144.9809918211226,North,Basic,Type_B,Desktop,0
40,29730,714,4928.922500018542,200.45425394371156,North,Standard,Type_A,Mobile,0
31,27130,717,382.3444236067174,1.2863196466574593,East,Standard,Type_C,Mobile,0
18,73337,759,1051.7312167385994,40.82975572037537,East,Premium,Type_A,Mobile,0
47,40149,666,2061.345154635375,106.97810018009113,East,Standard,Type_A,Mobile,1
36,12691,657,405.34568635385716,128.03592182725077,West,Standard,Type_A,Mobile,0
31,25931,640,1064.1055027492584,35.81906763279185,North,Basic,Type_B,Tablet,1
43,23644,709,12110.774249756048,48.912828840720785,North,Standard,Type_B,Mobile,0
50,27635,607,97.43895866810732,17.509973106263327,West,Standard,Type_B,Mobile,0
18,48120,723,5298.380063100203,229.67618294605597,North,Standard,Type_C,Mobile,0
39,34416,694,2425.8619239107234,95.99687589132508,East,Premium,Type_A,Desktop,0
20,34946,756,5583.607466386261,48.40849527853297,South,Basic,Type_C,Mobile,1
39,70034,666,4442.061367704477,177.55272912678976,North,Standard,Type_A,Mobile,0
36,25636,689,1264.7851610760774,95.93200731133427,North,Basic,Type_C,Mobile,0
41,92235,756,9393.437478131744,198.13535086009264,South,Standard,Type_B,Mobile,0
30,25960,769,3385.7824061063084,216.5801627323829,West,Basic,Type_B,Mobile,0
18,37971,665,8644.938070572978,35.91377563009752,East,Premium,Type_B,Desktop,0
30,31552,709,2604.485322680855,184.62755341254552,East,Standard,Type_B,Mobile,0
39,38627,714,20894.793537514524,180.14005643433654,South,Basic,Type_A,Desktop,1
45,45355,718,7359.029411852178,114.29682092349634,North,Basic,Type_C,Desktop,0
23,45112,686,16899.65635134442,120.65792805805131,North,Basic,Type_A,Desktop,0
45,24920,764,3611.093240613179,91.20726013408905,South,Standard,Type_A,Mobile,0
28,20713,605,3209.335188056027,30.05757677773898,North,Basic,Type_B,Mobile,0
38,126954,678,7041.755344975202,27.86024174699141,North,Basic,Type_C,Mobile,0
29,28509,722,10613.468391918703,235.79164374016676,South,Premium,Type_A,Desktop,1
36,51513,722,16641.47224337131,95.8381376182752,South,Basic,Type_D,Desktop,0
43,16255,767,1961.8948272051628,68.33293802347146,North,Standard,Type_D,Mobile,0
22,31577,759,8014.908340589111,125.79682174507045,East,Standard,Type_B,Desktop,1
28,34077,685,1182.6993990893595,46.868475861605816,South,Standard,Type_B,Desktop,0
36,46000,764,3943.6047897151952,59.064026059178495,North,Basic,Type_C,Desktop,0
59,9309,664,991.3288550080441,84.74277491992585,West,Premium,Type_A,Mobile,0
26,39461,746,2133.934260780778,53.23679090440806,North,Standard,Type_B,Desktop,1
55,20437,790,13394.280181503353,117.38250324642345,West,Standard,Type_D,Mobile,0
55,42709,760,789.651483285454,75.18569614486196,North,Standard,Type_D,Desktop,0
34,21629,705,5003.811617914973,116.80004097318124,West,Standard,Type_D,Mobile,0
32,23676,683,4494.148741603904,124.57105906669419,North,Premium,Type_A,Mobile,0
28,31671,623,643.3638043394342,174.63858230772615,East,Basic,Type_A,Tablet,0
34,21457,715,1972.4703811102365,65.01428975929495,South,Basic,Type_A,Desktop,0
20,28630,644,4138.898805092391,35.17417153517123,East,Basic,Type_B,Mobile,0
34,19996,660,1036.2194241137013,198.09753932333734,South,Basic,Type_A,Mobile,1
49,14521,640,8062.805332352259,16.039949827231187,North,Standard,Type_A,Desktop,0
28,60414,676,17905.780377339233,375.3875672687123,East,Standard,Type_B,Tablet,0
32,18995,698,1208.8255564860199,50.746106977233154,North,Standard,Type_C,Desktop,1
