age,income,credit_score,account_balance,transaction_amount,region,customer_segment,product_type,device,churn
36,49333,674,373.51499308437246,51.565432982271474,North,Standard,Type_A,Mobile,1
19,50360,630,16065.775405372025,22.823296697275826,West,Premium,Type_A,Mobile,0
43,25301,665,2705.718759176243,130.28877099056083,East,Standard,Type_D,Desktop,1
47,43345,696,1882.2074332985214,124.31623312514726,West,Basic,Type_B,Mobile,0
32,23004,734,18261.410201652987,66.25889565278456,South,Standard,Type_B,Desktop,0
26,48343,700,13734.906114070138,40.536698128511794,West,Basic,Type_B,Desktop,0
24,48977,710,5135.191711832287,83.58935276215495,South,Standard,Type_A,Desktop,0
34,48818,786,93.40389575300841,120.70976425785243,East,Basic,Type_D,Mobile,0
47,42948,698,6902.256847586963,43.24839129542869,South,Standard,Type_A,Desktop,0
30,31349,673,2044.0339268023858,75.89063111981876,South,Basic,Type_A,Mobile,0
46,32668,722,2457.4049744389536,23.90625624812894,South,Standard,Type_A,Mobile,0
23,64831,614,864.2852086254201,142.87950062520054,South,Basic,Type_A,Mobile,0
31,44687,614,3705.9979652568554,230.2832296696737,East,Standard,Type_A,Tablet,0
34,46353,693,6823.693732565293,57.71725202578969,East,Standard,Type_B,Mobile,0
37,37920,653,1594.220473392225,47.50084680733943,East,Premium,Type_A,Tablet,0
31,50298,669,13962.56208066054,162.96248822943724,North,Standard,Type_B,Mobile,0
47,58657,746,1082.9308401331077,161.03425396072788,West,Basic,Type_A,Mobile,0
47,26529,726,342.7987939391738,132.76003315647839,East,Premium,Type_D,Desktop,0
33,48843,696,5169.2359349922135,30.131402721857945,North,Basic,Type_A,Mobile,0
29,32433,704,9462.942401065675,4.3162247602142525,East,Premium,Type_B,Mobile,0
28,42485,678,15302.192369879378,73.42009326709174,North,Basic,Type_C,Mobile,0
45,55139,742,7287.255228023984,110.2582113984896,North,Basic,Type_A,Mobile,1
28,17573,739,1113.5308068286568,57.96906177510246,South,Standard,Type_A,Mobile,0
20,21122,749,19007.147609147112,158.88166690658733,East,Premium,Type_A,Desktop,0
21,26116,747,12593.50920290848,49.18991920835607,North,Standard,Type_A,Desktop,0
41,25205,702,890.6562784802351,17.65053449513735,South,Premium,Type_A,Tablet,1
21,33484,665,4091.1243408671585,57.79791740772324,West,Standard,Type_B,Desktop,0
31,84642,691,4054.222141204624,103.61826665045785,North,Standard,Type_B,Desktop,0
36,65461,705,2921.775799443672,34.845697948024245,North,Standard,Type_B,Desktop,0
18,27165,666,20764.530588396687,96.41473397755156,West,Premium,Type_A,Tablet,1
36,56074,781,307.36804554081755,73.12081685549421,South,Premium,Type_C,Mobile,0
31,35539,781,4933.685462479371,227.04152293957694,East,Premium,Type_A,Mobile,0
18,43125,693,1148.975762976463,146.1466437785499,North,Standard,Type_A,Desktop,0
36,22238,751,3746.8017858912144,337.4222039166188,East,Standard,Type_A,Mobile,0
38,18763,728,7564.750581177457,28.43186952622479,South,Standard,Type_A,Tablet,0
36,52374,675,1416.636528925807,180.7610437276571,West,Standard,Type_B,Desktop,0
40,36916,720,2499.0949850081283,11.894403264521928,South,Basic,Type_B,Mobile,1
37,47159,661,15056.064845932384,154.40773286334667,East,Standard,Type_B,Desktop,0
42,80569,655,7166.5260381978405,16.726865775426592,West,Basic,Type_B,Mobile,1
25,32228,723,4251.615979821716,128.98968717131592,West,Standard,Type_D,Tablet,0
21,32376,724,1255.1269861723395,97.28435299662114,North,Premium,Type_B,Tablet,1
23,87933,834,2769.582874661732,105.00194361177154,West,Standard,Type_B,Desktop,1
26,36625,692,7437.458198772022,10.00367797764624,South,Standard,Type_A,Mobile,0
55,24302,673,8589.100446632521,122.86762597581516,East,Basic,Type_A,Mobile,0
26,52461,746,1402.5803692524696,17.53456976530523,South,Standard,Type_B,Desktop,0
29,32246,698,5424.437683479579,227.50831723765975,South,Basic,Type_A,Tablet,0
32,24069,667,499.11820750689014,46.85767729081988,North,Standard,Type_B,Mobile,0
31,37981,670,117.42978015016281,61.413076004133636,East,Standard,Type_A,Mobile,1
53,54904,691,3977.825964073598,179.06709416750763,South,Premium,Type_C,Mobile,0
18,20341,752,1270.4619079164504,85.61689116372261,North,Premium,Type_D,Desktop,0
56,20106,721,410.9986644648064,86.66677041348427,South,Standard,Type_A,Tablet,0
36,34890,658,6543.488219514026,113.96566742831217,West,Standard,Type_C,Mobile,0
44,20951,791,3445.5226989201847,36.9151045063675,East,Basic,Type_C,Mobile,0
35,19186,654,7954.970523852285,46.33508716224313,South,Basic,Type_D,Desktop,1
43,36426,663,5452.39089727994,88.64478381617022,West,Standard,Type_A,Desktop,0
25,63135,758,6543.05568031956,238.11606116322665,East,Standard,Type_C,Desktop,1
21,53852,774,1836.2286726780671,136.83726144042006,North,Premium,Type_A,Desktop,0
60,34424,717,1527.7085575097376,142.9721701679209,South,Standard,Type_B,Mobile,0
54,68960,635,4592.401787969914,190.02323055723912,North,Basic,Type_C,Mobile,0
24,86463,704,1116.2311604165247,159.2966489864299,East,Standard,Type_C,Tablet,0
42,46425,631,8448.147954383392,132.41819085654046,West,Basic,Type_A,Tablet,0
46,30239,824,3700.357207280081,72.5087897964487,South,Basic,Type_C,Desktop,0
41,79324,714,1287.3160317492652,34.335899465799514,South,Standard,Type_B,Desktop,1
