age,income,credit_score,account_balance,transaction_amount,region,customer_segment,product_type,device,churn
39,73106,666,8539.120402026763,95.57579309923858,West,Standard,Type_A,Tablet,0
33,57659,692,20542.381689356003,198.9438238610278,East,Premium,Type_C,Mobile,0
41,37414,660,1503.3018972719208,127.18557598386148,North,Basic,Type_A,Desktop,0
50,26279,684,17486.93915561699,59.446269116680995,North,Standard,Type_A,Mobile,0
32,51488,605,2821.4297415654246,83.84303272523464,North,Premium,Type_A,Mobile,0
32,44211,710,2134.86472639357,64.03275307096496,North,Standard,Type_C,Desktop,0
50,56817,700,258.30642606752446,73.16927630141505,West,Basic,Type_A,Mobile,0
42,49890,659,271.0416837253274,97.78731248663574,South,Basic,Type_C,Mobile,0
30,61376,732,5888.46020978852,21.997221071942704,East,Standard,Type_D,Mobile,0
40,27788,746,3061.791397719095,16.838958207429076,West,Standard,Type_B,Mobile,0
30,70171,619,1284.2878401807568,37.96787348846485,South,Basic,Type_B,Desktop,0
30,40086,661,4759.2049292871925,121.07802212341244,North,Standard,Type_B,Mobile,0
37,102501,661,1457.5008823830735,133.16475749343647,South,Standard,Type_A,Mobile,0
18,25729,653,4309.388627103655,147.39131135585995,West,Standard,Type_B,Mobile,1
18,86507,741,2225.257667094912,39.37181379785692,West,Basic,Type_B,Mobile,1
29,40092,690,8673.651739398309,89.79825725555992,North,Standard,Type_D,Desktop,0
24,26220,686,8593.367431283086,60.98459923881082,East,Premium,Type_D,Mobile,0
38,28511,599,3244.220083708896,75.59909469106755,East,Standard,Type_C,Desktop,0
25,30940,731,2160.219394899083,60.09354629982282,West,Standard,Type_C,Mobile,0
20,44895,638,2251.4740243649117,101.9529093105505,North,Standard,Type_B,Mobile,0
49,47165,702,8192.133421825596,47.130174304350675,South,Premium,Type_B,Tablet,0
32,27259,713,1988.8203081482577,184.15699712627313,West,Standard,Type_C,Desktop,0
35,35875,768,1172.6618780401755,185.27336206148394,South,Standard,Type_A,Mobile,0
20,105993,634,442.45330864340747,118.38989992721723,South,Premium,Type_D,Desktop,0
29,86143,549,3143.2913115542137,169.69920380827762,North,Premium,Type_B,Mobile,1
36,45168,709,3290.175432324232,21.095246116354378,North,Basic,Type_B,Desktop,0
23,37012,790,9191.385465563266,191.4727594821562,South,Basic,Type_C,Desktop,0
38,38561,761,1250.2534699439354,110.32951931470664,West,Standard,Type_D,Desktop,1
28,49353,710,2398.1795446533665,49.63626508148414,North,Basic,Type_A,Tablet,0
32,21776,675,8261.876831831261,45.40038081963553,South,Standard,Type_C,Mobile,0
28,31930,740,8675.674960755783,236.28868026787373,East,Basic,Type_B,Desktop,0
53,15767,651,2427.504071358549,149.0430264433684,North,Standard,Type_A,Mobile,0
